Date,Close,Percent Change,50 MA,200 MA,EPS,EBIDTA,P/E,EV/EBITDA,1 YR,5 YR,30 YR,Recommendation,News,News Score
2023-05-16,172.07000732421875,0.0,162.9936001586914,152.17484966278076,1.53,31260000000.0,112.46405707465277,89.23536742103855,0.07,0.84,1.96,Sell,POSITIVE,0.748120903968811
2023-05-15,172.07000732421875,-0.002897374855299284,162.57279998779296,152.07249965667725,1.53,31260000000.0,112.46405707465277,89.23536742103855,0.07,0.84,1.94,Sell,POSITIVE,0.9411376118659972
2023-05-12,172.57000732421875,-0.006791324752697836,162.04959991455078,151.97689960479735,1.53,31260000000.0,112.79085446027369,89.48686143895281,0.07,0.79,1.91,Sell,POSITIVE,0.9986820816993712
2023-05-11,173.75,0.0010947363682816125,161.50439971923828,151.88449954986572,1.53,31260000000.0,113.56209150326798,90.08038363723608,0.08,0.77,1.9,Buy,NEGATIVE,0.9996590614318848
2023-05-10,173.55999755859375,0.010420872338650744,160.97759979248048,151.7924995803833,1.53,31260000000.0,113.43790690104167,89.98481468243052,0.07,0.77,1.92,Buy,POSITIVE,0.748120903968811
2023-05-09,171.77000427246094,-0.009971156931060876,160.4647998046875,151.689899559021,1.53,31260000000.0,112.26797664866727,89.08446947529231,0.07,0.78,1.92,Sell,NEGATIVE,0.955522894859314
2023-05-08,173.5,-0.0004033376808469935,159.96359985351563,151.58604953765868,1.53,31260000000.0,113.39869281045752,89.95463662827895,0.07,0.78,1.9,Sell,NEGATIVE,0.9990721940994264
2023-05-05,173.57000732421875,0.04692692172716728,159.4815997314453,151.45389957427977,1.53,31260000000.0,113.44444923151552,89.98984947478135,0.08,0.78,1.94,Buy,NEGATIVE,0.993470311164856
2023-05-04,165.7899932861328,-0.009913429037699317,158.98839965820312,151.3368995285034,1.53,31260000000.0,108.35947273603452,86.07659549504609,0.08,0.82,1.99,Sell,POSITIVE,0.996917963027954
2023-05-03,167.4499969482422,-0.006467285993302041,158.64219970703124,151.25029956817627,1.53,31260000000.0,109.4444424498315,86.91155747651864,0.08,0.81,1.95,Sell,POSITIVE,0.748120903968811
2023-05-02,168.5399932861328,-0.006191420923589042,158.34419982910157,151.1404996109009,1.53,31260000000.0,110.15685835694954,87.45981259357455,0.07,0.79,1.9,Sell,POSITIVE,0.748120903968811
2023-05-01,169.58999633789062,-0.0005303886243240852,158.04760009765624,151.02709964752196,1.53,31260000000.0,110.84313486136642,87.98795156619218,0.08,0.82,1.94,Sell,POSITIVE,0.748120903968811
2023-04-28,169.67999267578125,0.007541054486406518,157.76240020751953,150.90349964141845,1.53,31260000000.0,110.90195599724265,88.03321864741955,0.07,0.81,1.91,Buy,NEGATIVE,0.9836949110031128
2023-04-27,168.41000366210938,0.02839526936524983,157.43280029296875,150.79029964447022,1.53,31260000000.0,110.07189781837214,87.39442936790891,0.07,0.79,1.85,Buy,POSITIVE,0.748120903968811
2023-04-26,163.75999450683594,-6.112087295517821e-05,157.14160034179687,150.67999965667724,1.53,31260000000.0,107.03267614825879,85.05553039631322,0.07,0.81,1.87,Sell,POSITIVE,0.9981990456581116
2023-04-25,163.77000427246094,-0.0094356592349637,156.88660034179688,150.5757996749878,1.53,31260000000.0,107.03921847873264,85.06056518866403,0.07,0.84,1.88,Sell,POSITIVE,0.748120903968811
2023-04-24,165.3300018310547,0.001878545331279513,156.6286001586914,150.46474964141845,1.53,31260000000.0,108.05882472617954,85.84522529655841,0.07,0.88,1.91,Buy,POSITIVE,0.9977008700370787
2023-04-21,165.02000427246094,-0.00978091619394783,156.3604000854492,150.3327495956421,1.53,31260000000.0,107.85621194278492,85.6893002334497,0.07,0.83,1.85,Sell,POSITIVE,0.9731956720352172
2023-04-20,166.64999389648438,-0.0058462742813449875,156.1529998779297,150.1912495803833,1.53,31260000000.0,108.92156463822508,86.50916551285815,0.07,0.84,1.86,Sell,NEGATIVE,0.7886980175971985
2023-04-19,167.6300048828125,0.006968244450070493,155.8545999145508,150.04519962310792,1.53,31260000000.0,109.56209469464869,87.00209931396172,0.08,0.86,1.84,Buy,POSITIVE,0.9882901906967164
2023-04-18,166.47000122070312,0.0075047238711354325,155.59199981689454,149.91534961700438,1.53,31260000000.0,108.80392236647263,86.41863135040342,0.08,0.94,1.92,Buy,POSITIVE,0.748120903968811
2023-04-17,165.22999572753906,0.0001209915432451858,155.27899993896483,149.79129962921144,1.53,31260000000.0,107.99346125982944,85.79492342298025,0.08,0.97,1.99,Buy,POSITIVE,0.9942438006401062
2023-04-14,165.2100067138672,-0.0021139819394035975,154.88299987792968,149.65649967193605,1.53,31260000000.0,107.98039654501123,85.78486918825526,0.09,0.98,1.99,Sell,NEGATIVE,0.8686265349388123
2023-04-13,165.55999755859375,0.03410363052421039,154.464599609375,149.50719966888428,1.53,31260000000.0,108.20914873110702,85.96091039580224,0.09,1.02,2.07,Buy,POSITIVE,0.748120903968811
2023-04-12,160.10000610351562,-0.004353214769634461,154.01339965820313,149.35874965667725,1.53,31260000000.0,104.64052686504289,83.21460001817192,0.09,1.01,2.09,Sell,NEGATIVE,0.9668051600456238
2023-04-11,160.8000030517578,-0.007591160506113748,153.72999938964844,149.21604961395263,1.53,31260000000.0,105.09804121029923,83.56669010825424,0.09,0.98,2.08,Sell,POSITIVE,0.9965620636940002
2023-04-10,162.02999877929688,-0.01597233586979263,153.39319946289064,149.06234958648682,1.53,31260000000.0,105.90195998646854,84.18536324332659,0.09,0.93,2.04,Sell,POSITIVE,0.9997097849845886
2023-04-06,164.66000366210938,0.005495903672834368,152.98979949951172,148.92934955596922,1.53,31260000000.0,107.62091742621527,85.5082242335519,0.09,0.95,2.05,Buy,POSITIVE,0.748120903968811
2023-04-05,163.75999450683594,-0.011290287513422759,152.54719940185547,148.76984951019287,1.53,31260000000.0,107.03267614825879,85.05553039631322,0.09,0.98,2.1,Sell,POSITIVE,0.996917963027954
2023-04-04,165.6300048828125,-0.003249643690696802,152.0941995239258,148.61044956207274,1.53,31260000000.0,108.25490515216504,85.99612324230465,0.1,0.99,2.08,Sell,POSITIVE,0.748120903968811
2023-04-03,166.1699981689453,0.00770166355044366,151.53899932861327,148.46794956207276,1.53,31260000000.0,108.60784194048713,86.26773340465719,0.1,1.02,2.13,Buy,POSITIVE,0.748120903968811
2023-03-31,164.89999389648438,0.025688807080108234,150.92099945068358,148.35029956817627,1.53,31260000000.0,107.77777378855188,85.62893645015822,0.09,1.05,2.16,Buy,POSITIVE,0.748120903968811
