,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Min Vol % Change By Weights,1 YR,5 YR,30 YR,Signal
0,175.33,-0.0002373594462967,80.44,8.693125629784911e-05,72.79,0.0001050766939328,60.95,-0.0001089178699067,215.49,0.0021957829279632,174.49,0.0007662508860398,95.62,7.1669367825952e-05,90.84,0.00010442503032,0.0,1.152515327507732,1.159432454115214,5.35,4.38,4.38,0.0
1,175.3,-0.0001711059145611,80.19,-0.003107906514172,71.98,-0.0111279021843659,60.61,-0.0055783429040197,219.22,0.0173093879066312,174.0,-0.0028081838500774,95.41,-0.0021961932650074,90.8,-0.0004403346543373,-0.0012754476961109,1.152515327507732,1.159432454115214,5.36,4.42,4.41,0.0
2,175.57,0.0015402167712492,80.84,0.0081057488464897,71.37,-0.0084745762711864,60.48,-0.002144860584062,225.6,0.0291031840160569,176.57,0.0147701149425287,95.51,0.0010481081647626,91.23,0.0047356828193834,0.0026301109295264,1.152515327507732,1.159432454115214,5.37,4.42,4.38,1.0
3,176.59,0.0058096485732186,81.85,0.0124938149430973,72.62,0.0175143617766568,60.47,-0.0001653439153438,232.96,0.0326241134751774,177.45,0.0049838590927111,95.74,0.0024081248036853,91.47,0.0026307135810588,0.0040557339161495,1.152515327507732,1.159432454115214,5.36,4.36,4.32,1.0
4,177.06,0.0026615323631009,82.78,0.0113622480146611,73.81,0.0163866703387496,60.88,0.0067802215974863,239.76,0.0291895604395604,179.46,0.0113271344040575,96.0,0.0027156883225403,91.76,0.0031704383951023,0.00488079646381,1.152515327507732,1.159432454115214,5.37,4.36,4.29,1.0
5,177.6,0.0030498136225007,83.33,0.0066441169364579,74.25,0.005961251862891,61.17,0.0047634691195794,242.65,0.0120537203870538,177.79,-0.0093056948623649,96.07,0.0007291666666666,91.75,-0.0001089799476896,0.0022732957622263,1.152515327507732,1.159432454115214,5.36,4.31,4.27,1.0
6,177.6,0.0,83.2,-0.001560062402496,74.2,-0.0006734006734006,60.92,-0.0040869707372894,245.34,0.011085926231197,177.97,0.0010124303954104,96.37,0.0031227230144688,91.88,0.0014168937329699,0.0008802773836959,1.152515327507732,1.159432454115214,5.33,4.21,4.24,1.0
7,177.79,0.0010698198198197,83.52,0.0038461538461538,75.1,0.0121293800539081,61.06,0.0022980958634275,242.19,-0.0128393250183419,178.19,0.0012361633983255,97.0,0.0065373041402925,91.93,0.0005441880713976,0.0023408674272357,1.152515327507732,1.159432454115214,5.35,4.12,4.18,1.0
8,178.64,0.0047809213116598,83.53,0.0001197318007664,74.06,-0.0138482023968041,60.92,-0.0022928267278087,249.7,0.0310087121681323,179.8,0.0090352993995175,96.93,-0.000721649484536,91.92,-0.0001087784183618,0.0017948943622152,1.152515327507732,1.159432454115214,5.35,4.1,4.2,1.0
9,179.78,0.0063815494849979,84.07,0.0064647432060336,73.82,-0.0032406157169863,61.19,0.0044320420223242,251.45,0.0070084100921106,178.85,-0.0052836484983316,96.7,-0.0023728463839884,91.76,-0.0017406440382941,0.0015349977945704,1.152515327507732,1.159432454115214,5.3,4.16,4.27,1.0
10,180.19,0.0022805651351651,83.03,-0.0123706435113595,73.79,-0.0004063939311838,60.71,-0.007844419022716,253.85,0.0095446410817259,181.99,0.0175566116857703,96.68,-0.0002068252326783,91.57,-0.002070619006103,-0.0009599752441422,1.152515327507732,1.159432454115214,5.33,4.15,4.21,0.0
11,179.54,-0.0036073034019645,83.71,0.0081898109117186,73.14,-0.0088087816777341,61.64,0.0153187283808269,259.32,0.0215481583612369,191.17,0.0504423319962634,95.89,-0.0081712867190733,91.04,-0.0057879218084524,0.0002338431373014,1.152515327507732,1.159432454115214,5.37,4.3,4.32,1.0
12,179.6,0.0003341873677176,84.63,0.0109903237367101,71.48,-0.022696199070276,61.96,0.0051914341336793,254.11,-0.02009100724973,192.58,0.0073756342522364,96.54,0.0067786004797163,91.35,0.0034050966608083,0.0032034743788497,1.152515327507732,1.159432454115214,5.36,4.24,4.17,1.0
13,180.46,0.0047884187082405,85.12,0.0057899090157156,72.96,0.0207050923335196,61.77,-0.0030664945125887,261.07,0.0273897131163669,195.605,0.0157077578149338,96.77,0.0023824321524754,91.71,0.0039408866995074,0.0033886352810147,1.152515327507732,1.159432454115214,5.38,4.24,4.11,1.0
14,182.35,0.0104732350659424,85.26,0.0016447368421053,73.17,0.0028782894736842,61.93,0.0025902541686901,267.43,0.0243612824146781,196.45,0.0043199304721248,97.68,0.0094037408287692,92.75,0.0113400937738523,0.0091651217847331,1.152515327507732,1.159432454115214,5.37,4.18,4.02,1.0
15,181.86,-0.002687140115163,84.71,-0.0064508562045508,72.09,-0.014760147601476,62.48,0.0088809946714032,266.44,-0.0037019033017986,195.83,-0.0031560193433441,97.56,-0.0012285012285012,92.46,-0.0031266846361186,-5.488320946722648e-05,1.152515327507732,1.159432454115214,5.37,4.18,4.03,0.0
16,180.42,-0.0079181788188718,84.78,0.0008263487191595,71.43,-0.0091552226383686,62.44,-0.0006402048655569,255.71,-0.0402717309713256,193.22,-0.0133278864321095,97.18,-0.0038950389503894,91.93,-0.0057322085226042,-0.0061454226476373,1.152515327507732,1.159432454115214,5.4,4.24,4.06,0.0
17,183.3,0.0159627535749917,86.66,0.0221750412833214,70.66,-0.010779784404312,63.05,0.0097693786034593,264.35,0.0337882757811585,194.5,0.0066245730255667,98.02,0.0086437538588186,92.65,0.0078320461220493,0.0114618001659883,1.152515327507732,1.159432454115214,5.37,4.09,3.94,1.0
18,182.41,-0.0048554282596836,86.27,-0.0045003461804754,71.16,0.0070761392584206,62.25,-0.0126883425852497,265.28,0.0035180631738223,193.62,-0.0045244215938302,97.7,-0.0032646398694143,92.23,-0.0045331894225579,-0.0055304153282495,1.152515327507732,1.159432454115214,5.38,4.15,3.95,0.0
19,181.4,-0.0055369771394111,86.89,0.0071867393068274,70.69,-0.0066048341765035,62.46,0.0033734939759035,269.06,0.0142490952955369,192.75,-0.0044933374651379,97.81,0.0011258955987718,92.29,0.0006505475441831,0.0004433214636011,1.152515327507732,1.159432454115214,5.38,4.13,3.92,1.0
20,182.18,0.0042998897464168,86.18,-0.0081712510070203,68.99,-0.0240486631772528,62.44,-0.000320204931156,260.02,-0.0335984538764588,191.94,-0.0042023346303502,97.99,0.001840302627543,92.46,0.0018420197204462,0.0003579050769466,1.152515327507732,1.159432454115214,5.35,4.09,3.91,1.0
21,182.74,0.003073882972884,85.78,-0.0046414481318172,68.05,-0.0136251630671111,62.39,-0.0008007687379883,262.9,0.0110760710714559,193.13,0.0061998541210794,97.92,-0.0007143586080211,92.26,-0.0021630975556996,0.000410322601954,1.152515327507732,1.159432454115214,5.35,4.08,3.91,1.0
22,183.67,0.0050891977673195,86.06,0.0032641641408253,67.69,-0.0052902277736958,61.64,-0.0120211572367366,291.26,0.1078737162419172,195.1,0.0102003831616008,98.43,0.0052083333333334,92.63,0.0040104053761109,0.0057573487108263,1.152515327507732,1.159432454115214,5.32,3.98,3.84,1.0
23,183.64,-0.0001633364185767,85.1,-0.0111550081338601,67.96,0.0039887723445117,60.57,-0.0173588578844905,293.34,0.0071413857034952,193.73,-0.0070220399794976,98.13,-0.0030478512648584,92.55,-0.0008636510849616,-0.0045165201672628,1.152515327507732,1.159432454115214,5.32,4.0,3.91,0.0
24,181.56,-0.0113265083859724,85.57,0.0055229142185664,66.58,-0.0203060623896409,60.81,0.0039623576027736,290.38,-0.0100906797572781,193.99,0.001342074020544,98.05,-0.000815245083053,92.32,-0.0024851431658563,-0.0029328089972259,1.152515327507732,1.159432454115214,5.33,4.02,3.94,0.0
25,181.43,-0.000716016743776,86.13,0.006544349655253,67.47,0.013367377590868,60.9,0.0014800197335964,281.4,-0.030924994834355,190.69,-0.0170111861436157,97.94,-0.0011218765935746,92.14,-0.0019497400346619,-0.0020778840251713,1.152515327507732,1.159432454115214,5.34,4.04,3.93,0.0
26,182.01,0.0031968252218486,86.3,0.0019737605944503,69.09,0.0240106714095154,60.35,-0.009031198686371,277.9,-0.0124378109452736,190.54,-0.0007866170223923,98.41,0.0047988564427199,92.79,0.007054482309529,0.0012833778565114,1.152515327507732,1.159432454115214,5.27,3.93,3.9,1.0
27,181.88,-0.0007142464699742,85.75,-0.0063731170336036,67.87,-0.0176581270806194,59.84,-0.0084507042253521,271.99,-0.0212666426772218,189.77,-0.0040411462160175,97.8,-0.0061985570572096,92.23,-0.0060351330962388,-0.0059613326185133,1.152515327507732,1.159432454115214,5.35,4.07,3.96,0.0
28,179.45,-0.0133604574444688,85.29,-0.0053644314868803,67.03,-0.0123766023279799,59.52,-0.0053475935828877,269.79,-0.0080885326666421,188.08,-0.0089055172050376,97.01,-0.0080777096114518,91.48,-0.0081318443022877,-0.0087530968344952,1.152515327507732,1.159432454115214,5.44,4.24,4.03,0.0
29,178.78,-0.0037336305377542,84.09,-0.0140696447414703,65.54,-0.0222288527524987,59.31,-0.0035282258064516,269.61,-0.0006671855887913,188.61,0.002817949808592,96.8,-0.002164725286053,91.01,-0.0051377350240489,-0.0033294407611048,1.152515327507732,1.159432454115214,5.38,4.25,4.05,0.0
30,178.64,-0.0007830853563038,83.73,-0.004281127363539,65.85,0.0047299359169969,59.76,0.007587253414264,274.43,0.0178776751604168,190.68,0.0109750278352154,96.53,-0.002789256198347,90.59,-0.0046148774859905,0.0004542016195755,1.152515327507732,1.159432454115214,5.41,4.35,4.05,1.0
31,177.31,-0.0074451410658306,83.92,0.0022691986145944,64.44,-0.0214123006833713,60.56,0.0133868808567605,276.54,0.0076886637758262,191.81,0.0059261590098593,96.51,-0.0002071894747746,90.52,-0.0007727122198919,0.00118196544817,1.152515327507732,1.159432454115214,5.44,4.37,4.01,1.0
32,177.84,0.0029891151091308,84.57,0.007745471877979,64.63,0.0029484792054623,61.03,0.0077608982826948,282.48,0.0214797136038185,191.33,-0.0025024764089462,97.14,0.0065278209511967,91.17,0.0071807335395492,0.0065915849762482,1.152515327507732,1.159432454115214,5.4,4.25,3.95,1.0
33,178.47,0.0035425101214574,84.38,-0.0022466595719522,63.39,-0.0191861364691319,60.58,-0.0073734229067672,279.82,-0.009416595865194,192.46,0.0059060262373908,97.58,0.0045295449866171,91.48,0.0034002413074476,0.001064326556152,1.152515327507732,1.159432454115214,5.43,4.19,3.87,1.0
34,178.27,-0.0011206365215441,83.56,-0.009717942640436,63.55,0.0025240574223062,60.22,-0.0059425552987785,261.77,-0.0645057536988064,193.88,0.0073781565000519,97.95,0.0037917606066817,92.03,0.0060122431132487,-0.0017096286815328,1.152515327507732,1.159432454115214,5.4,4.13,3.85,0.0
35,177.09,-0.0066191731643013,83.1,-0.0055050263283868,62.96,-0.0092840283241542,60.02,-0.0033211557622051,257.5,-0.0163120296443441,189.59,-0.022127088920982,97.72,-0.002348136804492,91.63,-0.0043464087797457,-0.0047978642545766,1.152515327507732,1.159432454115214,5.41,4.14,3.92,0.0
36,177.28,0.0010729007849115,83.11,0.0001203369434417,62.52,-0.0069885641677255,60.52,0.0083305564811728,256.24,-0.0048932038834951,189.25,-0.0017933435307769,98.48,0.0077773229635693,91.87,0.0026192295099858,0.0046185273843236,1.152515327507732,1.159432454115214,5.32,3.97,3.81,1.0
37,177.69,0.0023127256317689,82.99,-0.0014438695704488,61.3,-0.0195137555982086,61.09,0.0094183740912094,250.21,-0.0235326256634405,188.06,-0.0062879788639366,98.19,-0.002944760357433,91.34,-0.0057690214433439,-0.0006934501743111,1.152515327507732,1.159432454115214,5.33,4.02,3.84,0.0
38,178.51,0.0046147785469075,81.98,-0.0121701409808409,62.73,0.0233278955954323,61.22,0.0021280078572596,241.05,-0.0366092482314855,185.27,-0.0148356907369987,98.38,0.0019350239331907,91.07,-0.0029559886139698,-0.0002682949262305,1.152515327507732,1.159432454115214,5.27,3.96,3.83,0.0
39,178.2,-0.001736597389502,80.13,-0.0225664796291779,62.42,-0.0049418141240235,61.2,-0.000326690623979,256.55,0.0643020120306989,186.68,0.0076105143844118,98.26,-0.0012197601138441,90.9,-0.0018666959481715,0.0014463467934634,1.152515327507732,1.159432454115214,5.25,3.99,3.82,1.0
