,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Max Sharpe % Change By Weights,1 YR,5 YR,30 YR,Signal
0,175.33,-0.0002373594462967,80.44,8.693125629784911e-05,72.79,0.0001050766939328,60.95,-0.0001089178699067,215.49,0.0021957829279632,174.49,0.0007662508860398,95.62,7.1669367825952e-05,90.84,0.00010442503032,0.0,1.600437488117172,1.6336537341420438,5.35,4.38,4.38,0.0
1,175.3,-0.0001711059145611,80.19,-0.003107906514172,71.98,-0.0111279021843659,60.61,-0.0055783429040197,219.22,0.0173093879066312,174.0,-0.0028081838500774,95.41,-0.0021961932650074,90.8,-0.0004403346543373,0.0014844982366918,1.600437488117172,1.6336537341420438,5.36,4.42,4.41,1.0
2,175.57,0.0015402167712492,80.84,0.0081057488464897,71.37,-0.0084745762711864,60.48,-0.002144860584062,225.6,0.0291031840160569,176.57,0.0147701149425287,95.51,0.0010481081647626,91.23,0.0047356828193834,0.0091455994982719,1.600437488117172,1.6336537341420438,5.37,4.42,4.38,1.0
3,176.59,0.0058096485732186,81.85,0.0124938149430973,72.62,0.0175143617766568,60.47,-0.0001653439153438,232.96,0.0326241134751774,177.45,0.0049838590927111,95.74,0.0024081248036853,91.47,0.0026307135810588,0.0111465349276547,1.600437488117172,1.6336537341420438,5.36,4.36,4.32,1.0
4,177.06,0.0026615323631009,82.78,0.0113622480146611,73.81,0.0163866703387496,60.88,0.0067802215974863,239.76,0.0291895604395604,179.46,0.0113271344040575,96.0,0.0027156883225403,91.76,0.0031704383951023,0.0120080563557368,1.600437488117172,1.6336537341420438,5.37,4.36,4.29,1.0
5,177.6,0.0030498136225007,83.33,0.0066441169364579,74.25,0.005961251862891,61.17,0.0047634691195794,242.65,0.0120537203870538,177.79,-0.0093056948623649,96.07,0.0007291666666666,91.75,-0.0001089799476896,0.0029591100392556,1.600437488117172,1.6336537341420438,5.36,4.31,4.27,1.0
6,177.6,0.0,83.2,-0.001560062402496,74.2,-0.0006734006734006,60.92,-0.0040869707372894,245.34,0.011085926231197,177.97,0.0010124303954104,96.37,0.0031227230144688,91.88,0.0014168937329699,0.0022191211805503,1.600437488117172,1.6336537341420438,5.33,4.21,4.24,1.0
7,177.79,0.0010698198198197,83.52,0.0038461538461538,75.1,0.0121293800539081,61.06,0.0022980958634275,242.19,-0.0128393250183419,178.19,0.0012361633983255,97.0,0.0065373041402925,91.93,0.0005441880713976,-0.0007033591406795,1.600437488117172,1.6336537341420438,5.35,4.12,4.18,0.0
8,178.64,0.0047809213116598,83.53,0.0001197318007664,74.06,-0.0138482023968041,60.92,-0.0022928267278087,249.7,0.0310087121681323,179.8,0.0090352993995175,96.93,-0.000721649484536,91.92,-0.0001087784183618,0.0087183855835312,1.600437488117172,1.6336537341420438,5.35,4.1,4.2,1.0
9,179.78,0.0063815494849979,84.07,0.0064647432060336,73.82,-0.0032406157169863,61.19,0.0044320420223242,251.45,0.0070084100921106,178.85,-0.0052836484983316,96.7,-0.0023728463839884,91.76,-0.0017406440382941,0.0025497024851884,1.600437488117172,1.6336537341420438,5.3,4.16,4.27,1.0
